condition_index,c0,c1,c2,method,estimate,std_error,normalized_ess,error,absolute_error,evaluations,covered_95,seconds,q_value
39,0.04251010064035654,0.3719063978642225,0.12348251044750214,nf_pure,0.9976844360527684,0.0008690450651817291,0.5685859273039412,-0.002315563947231647,0.002315563947231647,1000000,False,9.364909084979445,
39,0.04251010064035654,0.3719063978642225,0.12348251044750214,vegas,2.048786755143445e-15,1.5476861963425918e-15,,-0.999999999999998,0.999999999999998,995070,False,2.2925734499876853,0.5093927304819803
40,0.08719463367015123,0.7568657426163554,0.7650763588026166,nf_pure,0.9971702589478478,0.0009269209135818879,0.536461799720565,-0.002829741052152168,0.002829741052152168,1000000,False,9.359876926988363,
40,0.08719463367015123,0.7568657426163554,0.7650763588026166,vegas,6.959213501789798e-13,4.606368569117919e-13,,-0.9999999999993041,0.9999999999993041,995079,False,2.2748010720242746,0.5378143600492763
41,0.96521420404315,0.06862342357635498,0.056148461997509,nf_pure,1.0011483449940748,0.002165288498162313,0.17612688714132904,0.0011483449940747903,0.0011483449940747903,1000000,True,9.380871579021914,
41,0.96521420404315,0.06862342357635498,0.056148461997509,vegas,2.0543211263302404e-19,2.051476440912801e-19,,-1.0,1.0,995103,False,2.3658696680213325,0.43752681106751756
42,0.72902159858495,0.6483086226508021,0.6924400236457586,nf_pure,0.9998304876821642,0.0007848165215599384,0.6187560386742863,-0.000169512317835796,0.000169512317835796,1000000,True,9.320742813986726,
42,0.72902159858495,0.6483086226508021,0.6924400236457586,vegas,4.734174008651237e-12,3.560817444056351e-12,,-0.9999999999952658,0.9999999999952658,995087,False,2.2859194049960934,0.5047987204215205
43,0.3590553291141987,0.45958279073238373,0.48730530869215727,nf_pure,0.9992288691777542,0.0008022058899547848,0.6080772343843902,-0.0007711308222457802,0.0007711308222457802,1000000,True,9.344328995997785,
43,0.3590553291141987,0.45958279073238373,0.48730530869215727,vegas,0.000995330655473155,0.0009953306452042347,,-0.9990046693445268,0.9990046693445268,995075,False,2.289145861985162,0.43727482057364
44,0.4587399670854211,0.5882998974993825,0.2057339558377862,nf_pure,0.9993423671400785,0.000548931001803344,0.7682132065444855,-0.0006576328599214865,0.0006576328599214865,1000000,True,9.341441033000592,
44,0.4587399670854211,0.5882998974993825,0.2057339558377862,vegas,1.0371747425546936e-14,7.731708066215205e-15,,-0.9999999999999897,0.9999999999999897,995099,False,2.3118547860067338,0.5129776833919386
45,0.5787028968334198,0.2765260022133589,0.9732865504920483,nf_pure,0.9991131392216606,0.0005933235169012849,0.7392851509838072,-0.0008868607783394378,0.0008868607783394378,1000000,True,9.319898474001093,
45,0.5787028968334198,0.2765260022133589,0.9732865504920483,vegas,0.00013449666423301067,9.589591603521535e-05,,-0.999865503335767,0.999865503335767,995051,False,2.2682605590089224,0.5308258108284003
46,0.8500471347942948,0.9479472460225224,0.2742509562522173,nf_pure,0.999360649554198,0.001994045411459202,0.2007505510824527,-0.0006393504458019894,0.0006393504458019894,1000000,True,9.372029026999371,
46,0.8500471347942948,0.9479472460225224,0.2742509562522173,vegas,8.14605093500507e-16,4.383154519734576e-16,,-0.9999999999999992,0.9999999999999992,995096,False,2.3201657779864036,0.6806815761859257
47,0.22202422469854355,0.13665877096354961,0.5457607647404075,nf_pure,0.998556146370162,0.0012748502168660088,0.3802358737753729,-0.00144385362983801,0.00144385362983801,1000000,True,9.369415806984762,
47,0.22202422469854355,0.13665877096354961,0.5457607647404075,vegas,1.6244791564048385e-11,1.608263651388049e-11,,-0.9999999999837552,0.9999999999837552,995071,False,2.3159785310272127,0.4390123414657049
48,0.19444772507995367,0.983618414029479,0.009683731012046337,nf_pure,0.9978334491160427,0.001291376906063209,0.373845194855166,-0.002166550883957341,0.002166550883957341,1000000,True,9.38807754300069,
48,0.19444772507995367,0.983618414029479,0.009683731012046337,vegas,8.651697616376379e-15,8.650933594566101e-15,,-0.9999999999999913,0.9999999999999913,995102,False,2.374584204982966,0.43713732468947875
49,0.814658610150218,0.17039207089692354,0.8123946022242308,nf_pure,1.0008217383528049,0.0011187494102889296,0.44453418110813386,0.0008217383528048572,0.0008217383528048572,1000000,True,9.370556800015038,
49,0.814658610150218,0.17039207089692354,0.8123946022242308,vegas,2.9918056248527107e-09,2.392838872566424e-09,,-0.9999999970081944,0.9999999970081944,995088,False,2.321926407981664,0.4876274324639299
50,0.614076173864305,0.6248790826648474,0.44099560379981995,nf_pure,0.9998771750887852,0.0005770539309241839,0.7501464359881885,-0.00012282491121484718,0.00012282491121484718,1000000,True,9.392287662019953,
50,0.614076173864305,0.6248790826648474,0.44099560379981995,vegas,8.000299714139841e-11,7.600692316426081e-11,,-0.999999999919997,0.999999999919997,995080,False,2.2985072559968103,0.44729509573277915
51,0.48630121909081936,0.3111673193052411,0.7398473741486669,nf_pure,1.0002756228567322,0.0005352157825423773,0.7774247715822353,0.0002756228567322161,0.0002756228567322161,1000000,True,9.374655688006897,
51,0.48630121909081936,0.3111673193052411,0.7398473741486669,vegas,2.5588536281613853e-05,2.558835108651055e-05,,-0.9999744114637183,0.9999744114637183,995018,False,2.32306896999944,0.43727462983156584
52,0.3241393445059657,0.6741531416773796,0.9572192644700408,nf_pure,1.0003111420474693,0.001240122011100282,0.39417472251770497,0.00031114204746929275,0.00031114204746929275,1000000,True,9.382697201013798,
52,0.3241393445059657,0.6741531416773796,0.9572192644700408,vegas,8.038001516657764e-09,6.730855300061886e-09,,-0.9999999919619985,0.9999999919619985,995039,False,2.357946349977283,0.4512454991129654
53,0.70191858895123,0.48739569913595915,0.22094582952558994,nf_pure,1.0001844465987118,0.0006184330874264943,0.7234223128298093,0.00018444659871175162,0.00018444659871175162,1000000,True,9.371437980997143,
53,0.70191858895123,0.48739569913595915,0.22094582952558994,vegas,1.4327704803371246e-12,1.4115418317068338e-12,,-0.9999999999985673,0.9999999999985673,995104,False,2.3070288309827447,0.44007686823620873
54,0.9923324687406421,0.7837403491139412,0.5296005494892597,nf_pure,0.9960688516112457,0.0009670238030796222,0.5147923184603184,-0.003931148388754302,0.003931148388754302,1000000,False,9.3844035010261,
54,0.9923324687406421,0.7837403491139412,0.5296005494892597,vegas,2.333942669997486e-11,2.3025390184906948e-11,,-0.9999999999766606,0.9999999999766606,995081,False,2.2764281099953223,0.439235977827655
55,0.12212587334215641,0.0974664194509387,0.2893116110935807,nf_pure,0.9983488045695328,0.001077128591638333,0.46209717955293794,-0.0016511954304672116,0.0016511954304672116,1000000,True,9.367577105993405,
55,0.12212587334215641,0.0974664194509387,0.2893116110935807,vegas,4.069479808152856e-09,4.065991087074538e-09,,-0.9999999959305202,0.9999999959305202,995105,False,2.3553243500064127,0.43743330723632545
56,0.015384091064333916,0.5235478188842535,0.5871708951890469,nf_pure,0.9972070061307887,0.0008822864046588585,0.5609167097158135,-0.00279299386921128,0.00279299386921128,1000000,False,9.384593633003533,
56,0.015384091064333916,0.5235478188842535,0.5871708951890469,vegas,1.3685245375665723e-13,9.96929658493255e-14,,-0.9999999999998631,0.9999999999998631,995050,False,2.3249615819950122,0.5014101883563808
57,0.8856517216190696,0.3372726934030652,0.3586941519752145,nf_pure,0.9982165803009406,0.0008395788911146147,0.5856811402309381,-0.0017834196990593743,0.0017834196990593743,1000000,False,9.385239769995678,
57,0.8856517216190696,0.3372726934030652,0.3586941519752145,vegas,3.9690099262625055e-17,1.9514180800460582e-17,,-1.0,1.0,995078,False,2.338107838004362,0.6075744978321369
58,0.6836470272392035,0.8835641797631979,0.8937893202528358,nf_pure,1.0023496357488841,0.001250543552508622,0.391154280916902,0.002349635748884138,0.002349635748884138,1000000,True,9.37626008701045,
