benchmark,dimension,bins,seed,condition_id,condition_0,condition_1,condition_2,integral_true,integral_estimate,relative_error,variance,weight_variance,ess_fraction,train_time,eval_time,parameter_count,ise_2d
single_gaussian,2,64,0,4,0.8500000238418579,0.800000011920929,0.30000001192092896,1.0,0.9999991655349731,8.344650268554688e-07,3.577743843197823e-07,0.017888719215989113,0.98242609375,73.9727439279668,0.028603369370102882,100736,0.0529148243367672
single_gaussian,2,64,1,0,0.15000000596046448,0.20000000298023224,0.20000000298023224,1.0,1.0007926225662231,0.0007926225662231445,5.693300068378449e-07,0.028466500341892242,0.972364609375,73.97498489171267,0.029035423882305622,100736,0.17992326617240906
single_gaussian,2,64,1,1,0.25,0.75,0.800000011920929,1.0,0.999531090259552,0.00046890974044799805,5.791645124554634e-07,0.02895822562277317,0.97183171875,73.97498489171267,0.02851911773905158,100736,0.12071826308965683
single_gaussian,2,64,1,2,0.5,0.5,0.5,1.0,0.9989545941352844,0.0010454058647155762,7.59323313832283e-07,0.03796616569161415,0.963349453125,73.97498489171267,0.028664449229836464,100736,0.2826111912727356
single_gaussian,2,64,1,3,0.75,0.25,0.699999988079071,1.0,0.998066782951355,0.0019332170486450195,1.260232627391815e-06,0.06301163136959076,0.940508515625,73.97498489171267,0.028501428198069334,100736,1.1632202863693237
single_gaussian,2,64,1,4,0.8500000238418579,0.800000011920929,0.30000001192092896,1.0,1.0001927614212036,0.00019276142120361328,4.303789138793945e-07,0.021518945693969727,0.9789428125,73.97498489171267,0.02850615791976452,100736,0.08123484253883362
single_gaussian,2,64,2,0,0.15000000596046448,0.20000000298023224,0.20000000298023224,1.0,0.9981455206871033,0.0018544793128967285,9.627478569746017e-07,0.04813739284873009,0.95391125,73.71547261811793,0.02911126473918557,100736,0.6737136840820312
single_gaussian,2,64,2,1,0.25,0.75,0.800000011920929,1.0,1.0000993013381958,9.930133819580078e-05,4.997081309556961e-07,0.024985406547784805,0.97562890625,73.71547261811793,0.02856673812493682,100736,0.11105681210756302
single_gaussian,2,64,2,2,0.5,0.5,0.5,1.0,1.0001965761184692,0.00019657611846923828,4.785510152578354e-07,0.02392755076289177,0.976641015625,73.71547261811793,0.02876167092472315,100736,0.14250844717025757
single_gaussian,2,64,2,3,0.75,0.25,0.699999988079071,1.0,1.0007809400558472,0.000780940055847168,7.06774964928627e-07,0.03533874824643135,0.965919453125,73.71547261811793,0.028623878955841064,100736,0.5823838710784912
single_gaussian,2,64,2,4,0.8500000238418579,0.800000011920929,0.30000001192092896,1.0,0.999566376209259,0.0004336237907409668,3.158329054713249e-07,0.015791645273566246,0.98444078125,73.71547261811793,0.028674029279500246,100736,0.04935992881655693
single_gaussian,4,8,0,0,0.15000000596046448,0.20000000298023224,0.20000000298023224,1.0,1.0006513595581055,0.0006513595581054688,1.9911925494670866e-06,0.09955962747335434,0.90956375,162.62238930584863,0.065333500970155,134384,
single_gaussian,4,8,0,1,0.25,0.75,0.800000011920929,1.0,1.0000227689743042,2.276897430419922e-05,1.333058774471283e-06,0.06665293872356415,0.937515859375,162.62238930584863,0.06436489010229707,134384,
single_gaussian,4,8,0,2,0.5,0.5,0.5,1.0,0.9992479681968689,0.0007520318031311035,1.33670374751091e-06,0.0668351873755455,0.93726453125,162.62238930584863,0.06468812376260757,134384,
single_gaussian,4,8,0,3,0.75,0.25,0.699999988079071,1.0,1.0002554655075073,0.0002554655075073242,1.6728520393371582e-06,0.08364260196685791,0.922851171875,162.62238930584863,0.06429951917380095,134384,
single_gaussian,4,8,0,4,0.8500000238418579,0.800000011920929,0.30000001192092896,1.0,1.0003172159194946,0.0003172159194946289,9.407953172922135e-07,0.04703976586461067,0.955101640625,162.62238930584863,0.06457380298525095,134384,
single_gaussian,4,8,1,0,0.15000000596046448,0.20000000298023224,0.20000000298023224,1.0,1.0009355545043945,0.0009355545043945312,2.2668443620204925e-06,0.11334221810102463,0.898369140625,162.79196706600487,0.06535238213837147,134384,
single_gaussian,4,8,1,1,0.25,0.75,0.800000011920929,1.0,1.0004371404647827,0.00043714046478271484,1.096183806657791e-06,0.05480919033288956,0.948082734375,162.79196706600487,0.06444881204515696,134384,
single_gaussian,4,8,1,2,0.5,0.5,0.5,1.0,0.9996812343597412,0.00031876564025878906,1.3008090853691102e-06,0.0650404542684555,0.9388959375,162.79196706600487,0.06471079541370273,134384,
single_gaussian,4,8,1,3,0.75,0.25,0.699999988079071,1.0,0.9980509877204895,0.001949012279510498,2.169717848300934e-06,0.10848589241504669,0.901788203125,162.79196706600487,0.06441567093133926,134384,
single_gaussian,4,8,1,4,0.8500000238418579,0.800000011920929,0.30000001192092896,1.0,1.001042127609253,0.0010421276092529297,1.2251359224319457e-06,0.06125679612159729,0.9423934375,162.79196706600487,0.0643135099671781,134384,
single_gaussian,4,8,2,0,0.15000000596046448,0.20000000298023224,0.20000000298023224,1.0,0.9996578693389893,0.0003421306610107422,1.9242666661739348e-06,0.09621333330869675,0.91217796875,162.6920307329856,0.06495321681722999,134384,
single_gaussian,4,8,2,1,0.25,0.75,0.800000011920929,1.0,1.000430941581726,0.0004309415817260742,1.1696310341358185e-06,0.058481551706790924,0.944795703125,162.6920307329856,0.06453708279877901,134384,
single_gaussian,4,8,2,2,0.5,0.5,0.5,1.0,0.9990278482437134,0.0009721517562866211,1.0250990092754363e-06,0.05125495046377182,0.9511546875,162.6920307329856,0.0647604949772358,134384,
single_gaussian,4,8,2,3,0.75,0.25,0.699999988079071,1.0,1.0004090070724487,0.00040900707244873047,1.938041299581528e-06,0.09690206497907639,0.9117259375,162.6920307329856,0.06508689885959029,134384,
single_gaussian,4,8,2,4,0.8500000238418579,0.800000011920929,0.30000001192092896,1.0,1.0008841753005981,0.0008841753005981445,1.3215897977352141e-06,0.06607948988676071,0.9381203125,162.6920307329856,0.06617411086335778,134384,
single_gaussian,4,16,0,0,0.15000000596046448,0.20000000298023224,0.20000000298023224,1.0,1.0009253025054932,0.0009253025054931641,1.232312023639679e-06,0.06161560118198395,0.942062578125,162.64694663323462,0.06498521799221635,148832,
